date,Gas_Price,Gas_Log_Return,Gas_RSI,Gas_MA7,Gas_MA30,Gas_Vol7
2013-06-03,4.0,-0.004987541511038939,58.02469135802468,4.111428571428571,4.089666666666667,0.010418961411562422
2013-06-04,4.0,0.0,54.66666666666665,4.09,4.078666666666667,0.01058047250021197
2013-06-05,3.99,-0.002503130218118477,46.96969696969697,4.067142857142858,4.069333333333334,0.010414095710866109
2013-06-06,3.93,-0.01515180502060222,44.285714285714306,4.03,4.058666666666666,0.00839496338290863
2013-06-07,3.79,-0.03627340678683487,43.05555555555555,3.9785714285714286,4.045333333333334,0.013269973280172934
2013-06-10,3.85,0.015707129205357877,28.07017543859655,3.9400000000000004,4.035,0.017178644103725247
2013-06-11,3.77,-0.02099814683977347,20.9677419354839,3.9042857142857144,4.018,0.01670919026969794
2013-06-12,3.74,-0.00798939003347875,16.129032258064527,3.867142857142857,3.9993333333333334,0.01662218057711322
2013-06-13,3.73,-0.002677377770716403,16.129032258064512,3.8285714285714287,3.9799999999999995,0.016393663805983456
2013-06-14,3.76,0.008010723746078979,19.99999999999997,3.795714285714286,3.9626666666666663,0.01762839912175282
2013-06-17,3.78,0.005305052229693098,17.46031746031744,3.774285714285714,3.9560000000000004,0.018029447512951834
2013-06-18,3.9,0.03125254350410453,32.394366197183075,3.79,3.955,0.016885565879348335
2013-06-19,3.93,0.007662872745569097,36.619718309859174,3.801428571428571,3.9566666666666666,0.016223710553515902
2013-06-20,3.9,-0.007662872745569137,40.62500000000003,3.82,3.958,0.013498683918943825
2013-06-21,3.85,-0.012903404835907841,38.805970149253746,3.835714285714286,3.957333333333333,0.014376500395102375
2013-06-24,3.81,-0.010443959161083262,36.619718309859174,3.847142857142857,3.9543333333333335,0.015262794736147332
2013-06-25,3.77,-0.010554187678690256,35.135135135135144,3.8485714285714283,3.951,0.01585487050940598
2013-06-26,3.72,-0.013351333174864113,35.616438356164394,3.8400000000000003,3.944,0.016445925727960227
2013-06-27,3.73,0.002684565370668983,45.0,3.815714285714286,3.9339999999999997,0.008227059881442
2013-06-28,3.57,-0.04384263786417649,29.999999999999986,3.7642857142857147,3.919333333333334,0.014345320131775745
2013-07-01,3.52,-0.014104606181541935,31.343283582089555,3.7100000000000004,3.9070000000000005,0.014096087727723137
2013-07-02,3.58,0.016901810802603254,38.57142857142856,3.6714285714285713,3.8896666666666664,0.018517846274418118
2013-07-03,3.54,-0.011236073266925842,36.986301369863014,3.632857142857143,3.8699999999999997,0.018520670996248528
2013-07-05,3.52,-0.00566573753567742,33.33333333333336,3.597142857142857,3.848666666666667,0.018610249288969326
2013-07-08,3.65,0.036266177984394354,42.168674698795186,3.587142857142857,3.832,0.02528513418944934
2013-07-09,3.69,0.010899290458035638,36.0,3.5814285714285714,3.816666666666667,0.025763544890314412
2013-07-10,3.69,0.0,33.333333333333314,3.5985714285714283,3.8,0.017892481868052933
2013-07-11,3.64,-0.01364277640378649,32.432432432432435,3.6157142857142857,3.7830000000000004,0.017812158681727877
