date,Oil_Price,Oil_Log_Return,Oil_RSI,Oil_MA7,Oil_MA50,Oil_Vol7
2021-09-28,75.44,-0.0013246789591088337,73.27718223583457,73.1257142857143,69.80160000000001,0.01626731716388047
2021-09-29,75.06,-0.005049844618327228,77.55267423014581,73.79,69.9564,0.011311517267289992
2021-09-30,75.22,0.002129359335315448,74.68007312614256,74.46285714285716,70.0556,0.01123369268600488
2021-10-01,76.01,0.010447757535758741,74.84105358764754,74.98285714285716,70.1328,0.008579896301724087
2021-10-04,77.68,0.021732913405120385,78.21625887924229,75.59,70.2416,0.00995275648454853
2021-10-05,79.17,0.018999615200272817,77.19008264462808,76.30285714285716,70.382,0.010792235275056242
2021-10-06,77.66,-0.019257114879821166,68.39378238341966,76.60571428571428,70.5016,0.014350656329580514
2021-10-07,78.46,0.010248616477885292,73.23121808898607,77.03714285714285,70.6234,0.014307756008025682
2021-10-08,79.55,0.013796814002389387,84.83231707317069,77.67857142857143,70.742,0.013729659178149578
2021-10-11,80.64,0.013609049539262657,85.89652728561299,78.45285714285716,70.8762,0.013554279467454427
2021-10-12,80.75,0.0013631577797073476,83.89967637540448,79.13000000000001,71.065,0.013927306909244824
2021-10-13,80.67,-0.000991203153882869,81.81019332161682,79.55714285714285,71.2656,0.012983774132058836
2021-10-14,81.43,0.009376996530156993,81.82616330114132,79.88,71.5304,0.01175460248312975
2021-10-15,82.39,0.011720314848458537,81.16469517743398,80.5557142857143,71.79620000000001,0.005906960108140953
2021-10-18,82.62,0.002787711641119797,82.28417266187053,81.14999999999999,72.0834,0.006193698840950696
2021-10-19,83.19,0.006875366327177809,85.94164456233419,81.67,72.416,0.005513807319798988
2021-10-20,84.4,0.014440253306115215,87.13592233009707,82.20714285714287,72.7374,0.005700919856120785
2021-10-21,82.64,-0.02107357679052843,74.86871717929478,82.47714285714287,73.0042,0.011954552847998038
2021-10-22,84.53,0.022612676129453273,75.27675276752763,83.02857142857144,73.3124,0.013736807651876027
2021-10-25,84.64,0.0013004671691528552,72.47329498767458,83.48714285714287,73.638,0.013811224450530837
2021-10-26,85.64,0.011745495611492743,84.21955403087478,83.95142857142858,74.002,0.013813110672723448
2021-10-27,82.66,-0.03541665463789581,65.17341040462426,83.95714285714287,74.32520000000001,0.020837362985050314
2021-10-28,82.78,0.0014506772370001756,62.54856254856254,83.89857142857143,74.67360000000001,0.020642005253307106
2021-10-29,83.5,0.00866014553622341,61.43999999999998,83.77,75.0698,0.02004203657900173
2021-11-01,84.08,0.006922094711885806,62.837316885119485,83.97571428571429,75.5064,0.018201220941654456
2021-11-02,83.91,-0.002023930686717703,62.40428790199078,83.88714285714286,75.8716,0.015892133711057497
2021-11-03,80.82,-0.03752033623165046,48.01819363222868,83.34142857142857,76.138,0.02091449594675034
2021-11-04,78.88,-0.024296749355947594,39.27916921197312,82.37571428571428,76.3448,0.020065380904801644
2021-11-05,81.25,0.029603110915466888,46.29929767693138,82.17428571428572,76.62140000000001,0.022215905485788837
2021-11-08,81.96,0.008700502160851964,46.7024128686327,82.05714285714285,76.8838,0.022594256237803055
2021-11-09,84.12,0.026013027463800083,49.28571428571428,82.14571428571428,77.1806,0.02473533851001533
2021-11-10,81.23,-0.0349597137716366,46.599131693198274,81.73857142857142,77.43660000000001,0.02793810759441542
2021-11-11,81.47,0.0029502172596877715,41.9811320754717,81.39,77.6934,0.028087091651973924
2021-11-12,80.87,-0.007391927214819571,40.36791006642822,81.39714285714285,77.90939999999999,0.0241678983174773
2021-11-15,80.85,-0.0002473410846150907,37.11672942442173,81.67857142857143,78.1396,0.021707826890524487
2021-11-16,80.76,-0.001113792578478947,43.949044585987295,81.60857142857142,78.385,0.018411847435358276
2021-11-17,78.32,-0.030678795222381924,37.62486126526081,81.08857142857143,78.5642,0.020856153295230596
2021-11-18,78.92,0.007631682932159843,37.20670391061454,80.3457142857143,78.7774,0.016855221854734995
2021-11-19,76.11,-0.03625501887511446,30.20367610531548,79.61428571428573,78.9032,0.017190021335780244
2021-11-22,76.74,0.008243422539506072,32.58863525983489,78.93857142857142,79.02720000000001,0.017919680994337186
2021-11-23,78.32,0.020379913403448663,43.44863731656185,78.57428571428571,79.18299999999999,0.021023015345031926
2021-11-24,78.32,0.0,48.36639439906651,78.21285714285715,79.2976,0.02103171158768561
2021-11-26,78.32,0.0,40.08124576844954,77.86428571428571,79.4102,0.021066153118180463
2021-11-29,69.88,-0.11402351295639908,23.15555555555558,76.65857142857143,79.366,0.04654744535112476
2021-11-30,66.14,-0.05500577771220903,12.666112956810622,74.83285714285715,79.2806,0.04719865034915928
2021-12-01,65.44,-0.010640015259155196,13.933302878026495,73.30857142857143,79.1792,0.04719504318285693
2021-12-02,66.6,0.017570885251851714,17.40464708461201,71.86,79.0638,0.04829617256402504
2021-12-03,66.39,-0.0031581348152753272,17.707404103479035,70.1557142857143,78.923,0.04574845527681278
2021-12-06,69.62,0.04750543965222499,28.092079594225524,68.91285714285713,78.83179999999999,0.052812439947863325
2021-12-07,71.94,0.03278055588418494,34.17085427135676,68.00142857142858,78.7598,0.055914846671222526
2021-12-08,72.43,0.006788139939756825,38.63373214974916,68.36571428571429,78.69959999999999,0.033295279502916095
2021-12-09,70.87,-0.021773365385070045,35.020468924451066,69.04142857142857,78.6158,0.024501078005373718
2021-12-10,71.71,0.011782995072318671,41.164658634538135,69.93714285714286,78.54560000000001,0.02277825753407454
2021-12-13,71.19,-0.007277848778701605,38.805970149253724,70.59285714285714,78.4492,0.023870165570434154
2021-12-14,70.57,-0.008747234103043048,33.7389844733529,71.19,78.307,0.02445136470622416
2021-12-15,70.89,0.004524254854187371,34.61697722567288,71.37142857142858,78.14139999999999,0.01749679513280272
2021-12-16,72.34,0.020247846657025757,38.32031250000002,71.42857142857143,78.035,0.014227499919474118
2021-12-17,70.93,-0.019683751309956428,52.82714054927305,71.21428571428572,77.8844,0.015799422273882893
2021-12-20,68.69,-0.03208984698820528,57.46924428822494,70.90285714285714,77.6672,0.018149935847923526
2021-12-21,71.1,0.034483708583404965,65.06922257720979,70.8157142857143,77.4764,0.022934086930190476
2021-12-22,72.82,0.02390330593809215,66.08066184074457,71.04857142857144,77.31779999999999,0.024533812354718444
2021-12-23,73.89,0.014586858053269043,68.56435643564355,71.52285714285715,77.1822,0.024217763383058578
2021-12-27,75.49,0.021422696350977165,65.80506192784057,72.17999999999999,77.0634,0.024815012538464208
2021-12-28,76.01,0.006864713426415776,62.134764460345856,72.70428571428572,76.93579999999999,0.024312800543963217
2021-12-29,76.58,0.007471035471199367,62.31454005934715,73.51142857142857,76.815,0.0213141144980836
2021-12-30,76.83,0.0032592428303951084,69.17631917631915,74.67428571428572,76.6878,0.011210381449196873
2021-12-31,75.33,-0.01971672704194024,61.17283950617284,75.27857142857144,76.5064,0.014538871617818664
2022-01-03,75.99,0.00872329084409012,64.68788249694,75.73142857142857,76.37339999999999,0.012849968420830464
2022-01-04,77.0,0.013203669171990413,69.21697549312611,76.17571428571429,76.22279999999999,0.0127073275553212
2022-01-05,77.83,0.010721539117612951,70.12761020881669,76.51,76.0866,0.011064737888694094
2022-01-06,79.47,0.020852630980791157,70.45324153757886,77.00428571428571,75.9632,0.012730050481642791
2022-01-07,79.0,-0.005931739485066541,74.46937537901755,77.35000000000001,75.89,0.013518475940947811
2022-01-10,78.11,-0.011329762844815575,81.10964332892999,77.53285714285714,75.7966,0.014795910440629917
2022-01-11,81.17,0.03842763115087833,81.8872704243192,78.36714285714287,75.75,0.01655290064394178
