date,HDD,CDD,Total_Degree_Days,HDD_MA7,CDD_MA7,Total_DD_MA7,Total_DD_MA30,Weather_Shock
2010-09-08,2,7,9,0.8571428571428571,10.0,10.857142857142858,11.566666666666666,-2.5666666666666664
2010-09-09,3,5,8,1.1428571428571428,9.285714285714286,10.428571428571429,11.433333333333334,-3.4333333333333336
2010-09-10,2,5,7,1.2857142857142858,8.285714285714286,9.571428571428571,11.266666666666667,-4.2666666666666675
2010-09-13,1,6,7,1.4285714285714286,7.428571428571429,8.857142857142858,11.166666666666666,-4.166666666666666
2010-09-14,1,6,7,1.5714285714285714,6.571428571428571,8.142857142857142,11.0,-4.0
2010-09-15,2,6,8,1.7142857142857142,6.0,7.714285714285714,10.833333333333334,-2.833333333333334
2010-09-16,2,6,8,1.8571428571428572,5.857142857142857,7.714285714285714,10.633333333333333,-2.633333333333333
2010-09-17,2,6,8,1.8571428571428572,5.714285714285714,7.571428571428571,10.433333333333334,-2.4333333333333336
2010-09-20,2,6,8,1.7142857142857142,5.857142857142857,7.571428571428571,10.3,-2.3000000000000007
2010-09-21,2,6,8,1.7142857142857142,6.0,7.714285714285714,10.133333333333333,-2.133333333333333
2010-09-22,2,7,9,1.8571428571428572,6.142857142857143,8.0,9.966666666666667,-0.9666666666666668
2010-09-23,1,8,9,1.8571428571428572,6.428571428571429,8.285714285714286,9.8,-0.8000000000000007
2010-09-24,1,9,10,1.7142857142857142,6.857142857142857,8.571428571428571,9.7,0.3000000000000007
2010-09-27,3,4,7,1.8571428571428572,6.571428571428571,8.428571428571429,9.5,-2.5
2010-09-28,2,5,7,1.8571428571428572,6.428571428571429,8.285714285714286,9.333333333333334,-2.333333333333334
2010-09-29,2,4,6,1.8571428571428572,6.142857142857143,8.0,9.133333333333333,-3.133333333333333
2010-09-30,2,4,6,1.8571428571428572,5.857142857142857,7.714285714285714,8.966666666666667,-2.966666666666667
2010-10-01,3,4,7,2.0,5.428571428571429,7.428571428571429,8.8,-1.8000000000000007
2010-10-04,10,1,11,3.2857142857142856,4.428571428571429,7.714285714285714,8.733333333333333,2.2666666666666675
2010-10-05,9,1,10,4.428571428571429,3.2857142857142856,7.714285714285714,8.733333333333333,1.2666666666666675
2010-10-06,7,1,8,5.0,2.857142857142857,7.857142857142857,8.7,-0.6999999999999993
2010-10-07,5,1,6,5.428571428571429,2.2857142857142856,7.714285714285714,8.6,-2.5999999999999996
2010-10-08,4,1,5,5.714285714285714,1.8571428571428572,7.571428571428571,8.466666666666667,-3.466666666666667
2010-10-11,3,3,6,5.857142857142857,1.7142857142857142,7.571428571428571,8.4,-2.4000000000000004
2010-10-12,4,3,7,6.0,1.5714285714285714,7.571428571428571,8.266666666666667,-1.2666666666666675
2010-10-13,6,2,8,5.428571428571429,1.7142857142857142,7.142857142857143,8.1,-0.09999999999999964
2010-10-14,8,2,10,5.285714285714286,1.8571428571428572,7.142857142857143,8.033333333333333,1.9666666666666668
2010-10-15,8,1,9,5.428571428571429,1.8571428571428572,7.285714285714286,7.933333333333334,1.0666666666666664
2010-10-18,9,1,10,6.0,1.8571428571428572,7.857142857142857,7.9,2.0999999999999996
2010-10-19,9,1,10,6.714285714285714,1.8571428571428572,8.571428571428571,7.966666666666667,2.033333333333333
2010-10-20,9,1,10,7.571428571428571,1.5714285714285714,9.142857142857142,8.0,2.0
2010-10-21,10,1,11,8.428571428571429,1.2857142857142858,9.714285714285714,8.1,2.9000000000000004
2010-10-22,11,1,12,9.142857142857142,1.1428571428571428,10.285714285714286,8.266666666666667,3.7333333333333325
